Latitude,Longitude,Disaster Type,Country,Region,Start Year,Total Deaths,Total Affected,Total Damage ('000 US$)
45.08,79.21,Flood,Kazakhstan,Asia,2010,44.0,16200.0,34576.0
9.2,45.49,Flood,Somalia,Africa,2010,,16000.0,
14.03,44.31,Flood,Yemen,Asia,2010,7.0,1002.0,
6.83,80.59,Flood,Sri Lanka,Asia,2010,28.0,606072.0,105000.0
46.82,27.97,Flood,Republic of Moldova,Europe,2010,1.0,12000.0,
20.61,41.17,Flood,Saudi Arabia,Asia,2010,10.0,85.0,
12.94,-1.39,Flood,Burkina Faso,Africa,2010,16.0,133362.0,176.0
11.385,14.63,Flood,Chad,Africa,2010,24.0,144579.0,
35.21,68.85,Flood,Afghanistan,Asia,2010,65.0,5000.0,
16.245,-7.65,Flood,Mauritania,Africa,2010,,8750.0,
15.03,102.2,Flood,Thailand,Asia,2010,258.0,8970653.0,332000.0
20.48,-75.88,Storm,Haiti,Americas,2010,21.0,5020.0,
9.77,-66.93,Flood,Morocco,Africa,2010,32.0,75003.0,29000.0
37.811,-5.87,Flood,Spain,Europe,2010,2.0,6500.0,
8.88,-78.59,Flood,Panama,Americas,2010,13.0,24610.0,
-6.8436,108.26,Flood,Indonesia,Asia,2011,,12000.0,
-29.5025,28.08,Flood,Lesotho,Africa,2011,26.0,5000.0,
8.513,80.53,Flood,Sri Lanka,Asia,2011,18.0,225000.0,300000.0
14.951,4.555,Flood,Niger,Africa,2011,7.0,13000.0,
8.666,99.28,Flood,Thailand,Asia,2011,64.0,716110.0,317000.0
-31.055,28.41,Flood,South Africa,Africa,2011,40.0,200321.0,211000.0
5.69,-74.15,Flood,Colombia,Americas,2011,138.0,988599.0,1030000.0
-28.28,-52.91,Flood,Brazil,Americas,2011,12.0,31600.0,
51.448,53.67,Flood,Kazakhstan,Asia,2011,2.0,16000.0,67000.0
8.306,125.21,Flood,Philippines,Asia,2011,12.0,944781.0,10666.0
29.565,1.7,Flood,Algeria,Africa,2011,10.0,793.0,779000.0
27.89,14.47,Flood,China,Asia,2011,467.0,67900000.0,6400000.0
8.7372,4.47,Flood,Nigeria,Africa,2011,120.0,3000.0,
25.012,69.07,Flood,Pakistan,Asia,2011,509.0,5400755.0,2500000.0
4.64,-73.94,Flood,Colombia,Americas,2011,135.0,498924.0,1290000.0
26.59,92.18,Flood,India,Asia,2011,7.0,11000.0,
26.376,86.24,Flood,India,Asia,2011,204.0,5549080.0,
28.524,80.93,Flood,India,Asia,2011,19.0,200000.0,
-6.917,39.04,Flood,United Republic of Tanzania,Africa,2011,20.0,50200.0,
26.566,92.44,Flood,India,Asia,2012,120.0,2200000.0,
-22.56,-43.36,Flood,Brazil,Americas,2006,12.0,,
-16.03,-63.43,Flood,Bolivia (Plurinational State of),Americas,2006,25.0,126096.0,35000.0
-17.82,177.68,Storm,Fiji,Oceania,2006,,168.0,
-2.23,-79.98,Flood,Ecuador,Americas,2006,16.0,57670.0,2800.0
14.54,44.18,Flood,Yemen,Asia,2006,5.0,2000.0,
-17.91,145.54,Storm,Australia,Oceania,2006,,7030.0,1180000.0
5.43,-75.6,Flood,Colombia,Americas,2006,150.0,221465.0,
-25.68,115.13,Storm,Australia,Oceania,2006,,500.0,
45.26,20.75,Flood,Serbia Montenegro,Europe,2006,,35000.0,
2.81,-52.29,Flood,Brazil,Americas,2006,8.0,116000.0,
44.5,23.87,Flood,Romania,Europe,2006,,,
26.92,106.58,Flood,China,Asia,2006,22.0,36900.0,36000.0
25.97,118.77,Storm,China,Asia,2006,23.0,3150000.0,475000.0
50.13,-99.99,Flood,Canada,Americas,2006,1.0,400.0,
18.18,100.15,Flood,Thailand,Asia,2006,116.0,342895.0,25000.0
34.52,65.56,Flood,Afghanistan,Asia,2006,21.0,615.0,
25.51,106.51,Flood,China,Asia,2006,50.0,12000.0,141000.0
24.07,120.79,Flood,Taiwan (Province of China),Asia,2006,3.0,300.0,116130.0
26.01,108.45,Flood,China,Asia,2006,6.0,270000.0,6500.0
43.32,83.77,Flood,China,Asia,2006,20.0,2416.0,
40.41,-75.78,Flood,United States of America,Americas,2006,11.0,65000.0,1000000.0
37.56,127.17,Flood,Democratic People's Republic of Korea,Asia,2006,278.0,84500.0,
23.23,89.27,Flood,Bangladesh,Asia,2006,,135775.0,
47.73,128.9,Flood,China,Asia,2006,,4000.0,
33.06,69.95,Flood,Afghanistan,Asia,2006,10.0,,
19.17,83.65,Flood,India,Asia,2006,33.0,,
35.34,136.22,Flood,Japan,Asia,2006,34.0,6232.0,
26.39,117.39,Storm,Philippines,Asia,2006,4.0,200355.0,471.0
24.66,102.18,Flood,China,Asia,2006,35.0,,
34.08,69.75,Flood,Afghanistan,Asia,2006,54.0,8000.0,
20.19,73.82,Flood,India,Asia,2006,350.0,4000065.0,3390000.0
20.19,73.82,Flood,Pakistan,Asia,2006,,,
5.24,36.22,Flood,Ethiopia,Africa,2006,364.0,8000.0,
19.73,83.75,Storm,India,Asia,2006,114.0,150300.0,
47.86,-122.15,Flood,United States of America,Americas,2006,2.0,1500.0,
7.32,80.03,Flood,Sri Lanka,Asia,2006,25.0,333002.0,3000.0
4.64,44.6,Flood,Somalia,Africa,2006,52.0,299000.0,
10.33,106.74,Storm,Philippines,Asia,2006,1399.0,2562517.0,66400.0
