Country,year,annual_temp,baseline_temp,anomaly,anomaly_smooth
Iran,1911,16.20358333333333,17.710008333333334,-1.5064250000000037,-0.5409916666666682
Iran,1912,17.540166666666668,17.710008333333334,-0.16984166666666667,-0.543158333333335
Iran,1913,17.332916666666666,17.710008333333334,-0.3770916666666686,-0.3075416666666683
Iran,1914,17.749583333333334,17.710008333333334,0.03957499999999925,-0.15019166666666806
Iran,1915,18.186083333333332,17.710008333333334,0.476074999999998,-0.11985833333333532
Iran,1916,16.990333333333332,17.710008333333334,-0.7196750000000023,-0.1875916666666683
Iran,1917,17.69183333333333,17.710008333333334,-0.01817500000000294,-0.19047500000000142
Iran,1918,16.99425,17.710008333333334,-0.7157583333333335,-0.5327583333333343
Iran,1919,17.735166666666668,17.710008333333334,0.025158333333333616,-0.4785416666666677
Iran,1920,16.474666666666668,17.710008333333334,-1.2353416666666668,-0.41839166666666755
Iran,1921,17.261416666666666,17.710008333333334,-0.44859166666666894,-0.386041666666668
Iran,1922,17.992583333333332,17.710008333333334,0.2825749999999978,-0.392558333333335
Iran,1923,17.156,17.710008333333334,-0.5540083333333357,-0.16454166666666836
Iran,1924,17.702583333333333,17.710008333333334,-0.007425000000001347,-0.09734166666666795
Iran,1925,17.61475,17.710008333333334,-0.09525833333333367,-0.17902500000000146
Iran,1926,17.597416666666668,17.710008333333334,-0.11259166666666687,-0.17247500000000143
Iran,1927,17.584166666666665,17.710008333333334,-0.12584166666666974,-0.2772583333333344
Iran,1928,17.18875,17.710008333333334,-0.5212583333333356,-0.3637583333333346
Iran,1929,17.17866666666667,17.710008333333334,-0.5313416666666662,-0.45602500000000107
Iran,1930,17.18225,17.710008333333334,-0.5277583333333347,-0.5580750000000009
Iran,1931,17.136083333333335,17.710008333333334,-0.5739249999999991,-0.5516583333333337
Iran,1932,17.073916666666666,17.710008333333334,-0.6360916666666689,-0.6048416666666675
Iran,1933,17.220833333333335,17.710008333333334,-0.48917499999999947,-0.5228416666666675
Iran,1934,16.91275,17.710008333333334,-0.7972583333333354,-0.44654166666666767
Iran,1935,17.59225,17.710008333333334,-0.11775833333333452,-0.3610583333333338
Iran,1936,17.517583333333334,17.710008333333334,-0.19242500000000007,-0.26284166666666736
Iran,1937,17.501333333333335,17.710008333333334,-0.2086749999999995,-0.11585833333333326
Iran,1938,17.711916666666667,17.710008333333334,0.0019083333333327346,0.006875000000000142
Iran,1939,17.64766666666667,17.710008333333334,-0.06234166666666496,0.18584166666666704
Iran,1940,18.205916666666667,17.710008333333334,0.4959083333333325,0.29070833333333324
Iran,1941,18.41241666666667,17.710008333333334,0.7024083333333344,0.20079166666666665
Iran,1942,18.025666666666666,17.710008333333334,0.3156583333333316,0.26404166666666595
Iran,1943,17.262333333333334,17.710008333333334,-0.44767500000000027,0.08117499999999893
Iran,1944,17.963916666666666,17.710008333333334,0.2539083333333316,-0.0803750000000015
Iran,1945,17.29158333333333,17.710008333333334,-0.4184250000000027,-0.023158333333334724
Iran,1946,17.604666666666667,17.710008333333334,-0.10534166666666778,0.034908333333331855
Iran,1947,18.31175,17.710008333333334,0.6017416666666655,-0.20277500000000118
Iran,1948,17.552666666666667,17.710008333333334,-0.15734166666666738,-0.27932500000000077
Iran,1949,16.7755,17.710008333333334,-0.9345083333333335,-0.28502500000000097
Iran,1950,16.908833333333334,17.710008333333334,-0.8011750000000006,-0.4369250000000008
Iran,1951,17.576166666666666,17.710008333333334,-0.13384166666666886,-0.40149166666666714
Iran,1952,17.55225,17.710008333333334,-0.15775833333333367,-0.22347500000000053
Iran,1953,17.729833333333335,17.710008333333334,0.01982500000000087,0.03945833333333297
Iran,1954,17.665583333333334,17.710008333333334,-0.04442500000000038,0.037741666666666875
Iran,1955,18.2235,17.710008333333334,0.5134916666666669,-0.09987500000000012
Iran,1956,17.567583333333335,17.710008333333334,-0.14242499999999936,-0.004791666666667282
Iran,1957,16.864166666666666,17.710008333333334,-0.8458416666666686,-0.03929166666666717
Iran,1958,18.20525,17.710008333333334,0.495241666666665,-0.1052416666666673
Iran,1959,17.493083333333335,17.710008333333334,-0.2169249999999998,-0.07089166666666742
Iran,1960,17.89375,17.710008333333334,0.18374166666666625,0.11587499999999906
Iran,1961,17.739333333333335,17.710008333333334,0.029325000000000045,0.1266083333333327
Iran,1962,17.798,17.710008333333334,0.0879916666666638,0.009258333333332303
Iran,1963,18.258916666666668,17.710008333333334,0.5489083333333333,-0.018975000000001074
Iran,1964,16.906333333333333,17.710008333333334,-0.8036750000000019,0.11379166666666549
Iran,1965,17.752583333333334,17.710008333333334,0.04257499999999936,0.010208333333332575
Iran,1966,18.403166666666667,17.710008333333334,0.6931583333333329,-0.1319250000000011
Iran,1967,17.280083333333334,17.710008333333334,-0.4299250000000008,-0.008608333333334172
Iran,1968,17.54825,17.710008333333334,-0.161758333333335,0.13127499999999942
Iran,1969,17.522916666666667,17.710008333333334,-0.18709166666666732,0.030924999999999158
Iran,1970,18.452,17.710008333333334,0.7419916666666673,-0.1403250000000007
Iran,1971,17.901416666666666,17.710008333333334,0.19140833333333163,-0.09265833333333333
Iran,1972,16.423833333333334,17.710008333333334,-1.286175,-0.19939166666666636
Iran,1973,17.786583333333336,17.710008333333334,0.07657500000000184,-0.4014250000000004
Iran,1974,16.989250000000002,17.710008333333334,-0.7207583333333325,-0.5111249999999998
Iran,1975,17.44183333333333,17.710008333333334,-0.26817500000000294,-0.13930833333333298
Iran,1976,17.35291666666667,17.710008333333334,-0.3570916666666655,-0.06637500000000003
Iran,1977,18.28291666666667,17.710008333333334,0.5729083333333342,0.17750833333333277
Iran,1978,18.15125,17.710008333333334,0.44124166666666653,0.3549083333333328
Iran,1979,18.208666666666666,17.710008333333334,0.4986583333333314,0.5679749999999991
Iran,1980,18.328833333333332,17.710008333333334,0.6188249999999975,0.37674166666666553
Iran,1981,18.41825,17.710008333333334,0.708241666666666,0.33847499999999897
Iran,1982,17.32675,17.710008333333334,-0.3832583333333339,0.2223249999999993
Iran,1983,17.95991666666667,17.710008333333334,0.24990833333333384,0.1788249999999998
Iran,1984,17.627916666666668,17.710008333333334,-0.0820916666666669,0.03530833333333305
Iran,1985,18.111333333333334,17.710008333333334,0.40132499999999993,0.24920833333333264
Iran,1986,17.700666666666667,17.710008333333334,-0.009341666666667692,0.3596583333333328
